escala,referencia,tipo_referencia,competencia_avaliada,beta,se_cluster,ci_low,ci_high,p_valor,se_cluster_gl_fe,ci_low_gl_fe,ci_high_gl_fe,p_valor_gl_fe,n_obs,n_clusters,n_parametros_fe_absorvidos,nota
nivel,202409,mes,202603,0.4543584853728865,0.3234854455022392,-0.1822821209060408,1.0909990916518137,0.16120429043440776,0.3412736481829582,-0.2172904722761707,1.1260074430219436,0.18410159089435563,15262,295,1547,referencia deslocada para 202409
nivel,202410,mes,202603,0.37253818839350283,0.3189235126256602,-0.2551242343141673,1.000200611101173,0.24370820908520044,0.3364608583118754,-0.28963888264049487,1.0347152594275006,0.26910132670618914,15262,295,1547,referencia deslocada para 202410
nivel,202411,mes,202603,0.3559121513894118,0.3133679772113712,-0.2608166126837387,0.9726409154625623,0.2569802383035233,0.3305998285041807,-0.2947300279761328,1.0065543307549563,0.28255732354018165,15262,295,1547,referencia deslocada para 202411
nivel,202412,mes,202603,0.3291453241600326,0.30907891759557665,-0.2791422888439363,0.9374329371640016,0.28778447218998066,0.3260749169735125,-0.3125915320749132,0.9708821803949784,0.31360507357299955,15262,295,1547,referencia deslocada para 202412
nivel,202501,mes,202603,0.35546945760790666,0.3040980157187414,-0.24301541331052295,0.9539543285263363,0.24337851498924243,0.320820119336142,-0.2759256116927475,0.9868645269085607,0.26876641019916,15262,295,1547,referencia deslocada para 202501
nivel,202502,mes,202603,0.410344768625042,0.2972812574258775,-0.17472427418499215,0.9954138114350761,0.16853518357827496,0.3136285130251527,-0.20689674704404415,1.0275862842941281,0.1917669292063019,15262,295,1547,referencia deslocada para 202502
nivel,202503,mes,202603,0.40518192588321045,0.2778293729440648,-0.14160453048605848,0.9519683822524794,0.14580215876392658,0.2931069851683585,-0.1716718749190288,0.9820357266854497,0.16790774701320413,15262,295,1547,referencia deslocada para 202503
nivel,202504,mes,202603,0.48899242249372654,0.2545215640572498,-0.011922734912780952,0.989907579900234,0.0556704767580963,0.26851749874616493,-0.039467653763633925,1.0174524987510871,0.06961067236653845,15262,295,1547,referencia deslocada para 202504
nivel,202505,mes,202603,0.5421018936111208,0.24496438600247555,0.05999589042068765,1.024207896801554,0.02766683397131853,0.25843477920982544,0.033485271728003974,1.0507185154942378,0.03679101051511106,15262,295,1547,referencia deslocada para 202505
nivel,202506,mes,202603,0.5001997255486577,0.23401243502089414,0.03964788131590419,0.9607515697814111,0.0333827608956619,0.2468805893129593,0.014322508369149944,0.9860769427281654,0.043659408261306376,15262,295,1547,referencia deslocada para 202506
nivel,media_12_meses_pre,media,202603,0.4050517894516141,0.2971483533116124,-0.17975568933116876,0.989859268234397,0.17388461350161621,0.31348830062127353,-0.21191377899618408,1.0220173578994123,0.19734433017085207,15262,295,1547,media dos doze meses pre estimados (a referencia 202506 nao entra na media)
nivel,media_13_meses_pre_com_referencia,media,202603,0.412370861459079,0.2908170892969442,-0.15997627384657398,0.9847179967647319,0.15725759235728376,0.3068088855256713,-0.19144917931451233,1.0161909022326703,0.17996385116659777,15262,295,1547,"media dos treze meses pre, contando a referencia 202506 como zero"
