amostra,escala,competencia,fase,beta,se_cluster,ci_low,ci_high,p_valor,se_cluster_gl_fe,ci_low_gl_fe,ci_high_gl_fe,p_valor_gl_fe,referencia,n_obs,n_celulas,n_clusters,n_parametros_fe_absorvidos,q_fdr_bh,q_fdr_bh_gl_fe,familia_fdr
ampliada_1184,proporcional,202412,PRE,0.0026441632080576537,0.01205517040298907,-0.021061713928513432,0.026350040344628737,0.8265082963170627,0.012532844228793026,-0.022001035119946506,0.02728936153606181,0.8330209879831217,False,30784,1184,368,2300,0.972522478164311,0.9735693575161852,25_coeficientes_de_evento_ampliada_1184_proporcional
ampliada_1184,proporcional,202501,PRE,0.0004202505857848765,0.012192387711429227,-0.023555457382384144,0.024395958553953895,0.9725224781643111,0.012675498633059957,-0.024505470345176777,0.02534597151674653,0.9735693575161852,False,30784,1184,368,2300,0.972522478164311,0.9735693575161852,25_coeficientes_de_evento_ampliada_1184_proporcional
ampliada_1184,proporcional,202502,PRE,-0.0005067984865302211,0.012163877383793048,-0.024426442350960063,0.02341284537789962,0.9667890330983523,0.012645858612783886,-0.025374233830851325,0.02436063685779088,0.9680541351170321,False,30784,1184,368,2300,0.972522478164311,0.9735693575161852,25_coeficientes_de_evento_ampliada_1184_proporcional
ampliada_1184,proporcional,202503,PRE,0.00770361523473598,0.011168692552179942,-0.014259048466182447,0.02966627893565441,0.49078678173338447,0.011611240597731014,-0.01512929660404885,0.030536527073520812,0.5074513319387732,False,30784,1184,368,2300,0.9438207341026624,0.9735693575161852,25_coeficientes_de_evento_ampliada_1184_proporcional
ampliada_1184,proporcional,202504,PRE,-0.0034494534764905895,0.009940927232524266,-0.022997779358253534,0.016098872405272358,0.7287938526869432,0.010334826330128163,-0.023772361823690018,0.01687345487070884,0.7387438580506086,False,30784,1184,368,2300,0.972522478164311,0.9735693575161852,25_coeficientes_de_evento_ampliada_1184_proporcional
ampliada_1184,proporcional,202505,PRE,0.0006484810702905637,0.005700174450253752,-0.010560620971206277,0.011857583111787405,0.9094861919025315,0.005926038046236398,-0.011004770201536621,0.01230173234211775,0.9129219548082887,False,30784,1184,368,2300,0.972522478164311,0.9735693575161852,25_coeficientes_de_evento_ampliada_1184_proporcional
ampliada_1184,proporcional,202506,PRE,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,30784,1184,368,2300,,,25_coeficientes_de_evento_ampliada_1184_proporcional
ampliada_1184,proporcional,202507,TRANSICAO,-0.0034290457546162045,0.005790243059761936,-0.014815263118376214,0.007957171609143804,0.554073957415816,0.006019675532487954,-0.015266430362618079,0.008408338853385669,0.5692706437850503,False,30784,1184,368,2300,0.972522478164311,0.9735693575161852,25_coeficientes_de_evento_ampliada_1184_proporcional
ampliada_1184,proporcional,202508,TRANSICAO,-0.012566836980999705,0.007063432816713639,-0.026456717000772793,0.0013230430387733833,0.07604434821890041,0.007343314134362391,-0.027007089322955632,0.001873415360956223,0.08786504332374814,False,30784,1184,368,2300,0.15842572545604253,0.18305217359114198,25_coeficientes_de_evento_ampliada_1184_proporcional
ampliada_1184,proporcional,202509,TRANSICAO,0.032661344210736264,0.01359416293395138,0.005929116833272099,0.059393571588200425,0.016774878793412374,0.014132817768366066,0.0048698796017114035,0.060452808819761124,0.02138484922771986,False,30784,1184,368,2300,0.04193719698353093,0.05346212306929965,25_coeficientes_de_evento_ampliada_1184_proporcional
ampliada_1184,proporcional,202510,POS_ADMIN,0.04590554151120117,0.014072851269968985,0.01823199795976328,0.07357908506263906,0.0012099977114290192,0.014630473641232138,0.017135462035352777,0.07467562098704957,0.0018406574626647647,False,30784,1184,368,2300,0.00756248569643137,0.011498827920434255,25_coeficientes_de_evento_ampliada_1184_proporcional
ampliada_1184,proporcional,202511,POS_ADMIN,0.046645672623259,0.014820935121367665,0.017501060370485048,0.07579028487603295,0.0017827285940917891,0.015408199551877957,0.016346234849901487,0.07694511039661651,0.0026415659181413843,False,30784,1184,368,2300,0.007784988523534282,0.011498827920434255,25_coeficientes_de_evento_ampliada_1184_proporcional
ampliada_1184,proporcional,202512,POS_ADMIN,0.04020534629386989,0.015277389847653155,0.010163139125552643,0.07024755346218714,0.008854587182005418,0.015882740830914045,0.008972747322370252,0.07143794526536953,0.011778037812260429,False,30784,1184,368,2300,0.025970554760379315,0.03441981889296817,25_coeficientes_de_evento_ampliada_1184_proporcional
ampliada_1184,proporcional,202601,POS_ADMIN,0.040629840221471536,0.015550279858483037,0.010051008778898762,0.0712086716640443,0.009349399713736554,0.016166443829958882,0.008839353786434585,0.0724203266565085,0.012391134801468542,False,30784,1184,368,2300,0.025970554760379315,0.03441981889296817,25_coeficientes_de_evento_ampliada_1184_proporcional
ampliada_1184,proporcional,202602,POS_ADMIN,0.04864446097561147,0.015837729629040665,0.01750037423460798,0.07978854771661495,0.0022892706009114442,0.016465283504353515,0.01626632157774493,0.081022600373478,0.003335196128418848,False,30784,1184,368,2300,0.008175966431826586,0.01191141474435303,25_coeficientes_de_evento_ampliada_1184_proporcional
ampliada_1184,proporcional,202603,POS_ADMIN,0.06389935631239704,0.017007670457724493,0.030454640661580698,0.09734407196321339,0.00019987766777912355,0.017681582044535394,0.02912942793178886,0.09866928469300523,0.00034370580167086026,False,30784,1184,368,2300,0.002146352215955211,0.003627556116878971,25_coeficientes_de_evento_ampliada_1184_proporcional
ampliada_1184,proporcional,202604,POS_ADMIN,0.06101787801757495,0.016532978928578256,0.02850661902407152,0.09352913701107839,0.0002575622659146253,0.01718808134793452,0.02721839356180187,0.09481736247334804,0.0004353067340254766,False,30784,1184,368,2300,0.002146352215955211,0.003627556116878971,25_coeficientes_de_evento_ampliada_1184_proporcional
ampliada_1184,proporcional,202605,POS_ADMIN,0.06632337379385823,0.017413237920088975,0.032081130434016766,0.1005656171536997,0.00016365587537063936,0.018103219703744313,0.030724316482573157,0.10192243110514332,0.0002852840025158019,False,30784,1184,368,2300,0.002146352215955211,0.003627556116878971,25_coeficientes_de_evento_ampliada_1184_proporcional
ampliada_1184,proporcional,202606,POS_ADMIN,0.058119593801344495,0.01854983490356078,0.021642290500973348,0.09459689710171565,0.0018683972456482278,0.019284853182872586,0.020196914580100485,0.0960422730225885,0.0027597187009042214,False,30784,1184,368,2300,0.007784988523534282,0.011498827920434255,25_coeficientes_de_evento_ampliada_1184_proporcional
ampliada_1184,proporcional,202607,POS_ADMIN,0.04234693317470502,0.018035459045538486,0.00688112373835021,0.07781274261105983,0.019405707225333753,0.018750095706358882,0.00547582722968392,0.07921803911972611,0.024501570785682738,False,30784,1184,368,2300,0.04410388005757671,0.055685388149278946,25_coeficientes_de_evento_ampliada_1184_proporcional
