termo,coef,se_cluster,ci_low,ci_high,p_valor,espec,n,n_clusters,r2,outcome_medio,q_fdr_atracao,amostra
cod_curso_9,-0.008186954339491188,0.3854315114992823,-0.7636188353849203,0.7472449267059378,0.9830534009225625,OLS_delta_confirmatoria_587_10cursos_minimal,587,295,0.9326166097959141,1.1856899488926746,,confirmatoria_587_10cursos
uf_fe_12,0.30177761803377745,0.4237805337014201,-0.5288169653701685,1.1323722014377235,0.47639774039523386,OLS_delta_confirmatoria_587_10cursos_minimal,587,295,0.9326166097959141,1.1856899488926746,,confirmatoria_587_10cursos
uf_fe_13,-0.41970552244985826,1.8551761761804948,-4.055784012740362,3.2163729678406456,0.8210187590329853,OLS_delta_confirmatoria_587_10cursos_minimal,587,295,0.9326166097959141,1.1856899488926746,,confirmatoria_587_10cursos
uf_fe_15,-0.09656865040749173,0.5117091212191739,-1.0995000985577132,0.9063627977427299,0.850313952690376,OLS_delta_confirmatoria_587_10cursos_minimal,587,295,0.9326166097959141,1.1856899488926746,,confirmatoria_587_10cursos
uf_fe_17,0.7869510133835943,0.6343522554929104,-0.4563565608942607,2.030258587661449,0.2147689310301164,OLS_delta_confirmatoria_587_10cursos_minimal,587,295,0.9326166097959141,1.1856899488926746,,confirmatoria_587_10cursos
uf_fe_21,0.40854354700838075,0.49579519179555653,-0.5631971726190386,1.3802842666358,0.40993003561169483,OLS_delta_confirmatoria_587_10cursos_minimal,587,295,0.9326166097959141,1.1856899488926746,,confirmatoria_587_10cursos
uf_fe_22,0.6713695294425924,0.4350592649435793,-0.1813309609872924,1.5240700198724773,0.12279002281408063,OLS_delta_confirmatoria_587_10cursos_minimal,587,295,0.9326166097959141,1.1856899488926746,,confirmatoria_587_10cursos
uf_fe_23,0.7199791116800102,0.6175324508058418,-0.49036225118419263,1.9303204745442128,0.24365617072742674,OLS_delta_confirmatoria_587_10cursos_minimal,587,295,0.9326166097959141,1.1856899488926746,,confirmatoria_587_10cursos
uf_fe_24,0.7990293885847773,0.6191323012169133,-0.4144476234657771,2.0125064006353317,0.19685516971312167,OLS_delta_confirmatoria_587_10cursos_minimal,587,295,0.9326166097959141,1.1856899488926746,,confirmatoria_587_10cursos
uf_fe_29,0.99864636479946,0.5158120736480847,-0.012326722341707952,2.009619451940628,0.052859583252046004,OLS_delta_confirmatoria_587_10cursos_minimal,587,295,0.9326166097959141,1.1856899488926746,,confirmatoria_587_10cursos
uf_fe_31,0.6369027757794458,0.42273955592091,-0.191651528665994,1.4654570802248856,0.13191117840039923,OLS_delta_confirmatoria_587_10cursos_minimal,587,295,0.9326166097959141,1.1856899488926746,,confirmatoria_587_10cursos
uf_fe_33,1.3197733891044146,0.6234675658505092,0.09779941450856189,2.541747363700267,0.034274476857764205,OLS_delta_confirmatoria_587_10cursos_minimal,587,295,0.9326166097959141,1.1856899488926746,,confirmatoria_587_10cursos
uf_fe_35,2.0128361415476284,1.2020781237215363,-0.3431936875500661,4.368865970645323,0.09403950949687837,OLS_delta_confirmatoria_587_10cursos_minimal,587,295,0.9326166097959141,1.1856899488926746,,confirmatoria_587_10cursos
uf_fe_41,4.497555593365075,0.6652679661709955,3.1936543396017125,5.801456847128437,1.3749991114066104e-11,OLS_delta_confirmatoria_587_10cursos_minimal,587,295,0.9326166097959141,1.1856899488926746,,confirmatoria_587_10cursos
uf_fe_42,1.0636736101297353,0.5431009612271899,-0.0007847138446412938,2.128131934104112,0.05016913113186349,OLS_delta_confirmatoria_587_10cursos_minimal,587,295,0.9326166097959141,1.1856899488926746,,confirmatoria_587_10cursos
