termo,coef,se_cluster,ci_low,ci_high,p_valor,espec,n,n_clusters,r2,outcome_medio,q_fdr_atracao,familia_fdr
uf_fe_33,0.0326537805532777,0.10277043914709601,-0.16877257885039576,0.23408013995695115,0.7506858485151455,LPM_cobertura_full,587,295,0.28531728472931406,0.9369676320272572,,
uf_fe_35,0.05781296994715943,0.08118461772138721,-0.10130595688541175,0.2169318967797306,0.47639214857539447,LPM_cobertura_full,587,295,0.28531728472931406,0.9369676320272572,,
uf_fe_41,0.08487376281927374,0.0804208558269359,-0.07274821820740877,0.24249574384595624,0.29125611395007134,LPM_cobertura_full,587,295,0.28531728472931406,0.9369676320272572,,
uf_fe_42,0.24375450286809894,0.08836196809681532,0.07056822779526364,0.4169407779409342,0.005805119429225675,LPM_cobertura_full,587,295,0.28531728472931406,0.9369676320272572,,
uf_fe_43,0.15371017930476596,0.08041615031404852,-0.0039025790861284826,0.31132293769566044,0.05594880620086198,LPM_cobertura_full,587,295,0.28531728472931406,0.9369676320272572,,
uf_fe_50,0.085947094788027,0.07216652135113984,-0.05549668794974791,0.22739087752580192,0.23367116763703033,LPM_cobertura_full,587,295,0.28531728472931406,0.9369676320272572,,
uf_fe_51,0.11282270496608288,0.0964873349050227,-0.07628899641201606,0.3019344063441818,0.24228251492571828,LPM_cobertura_full,587,295,0.28531728472931406,0.9369676320272572,,
uf_fe_52,0.07497205291907605,0.07978681832824003,-0.0814072374453147,0.2313513432834668,0.3473947465762056,LPM_cobertura_full,587,295,0.28531728472931406,0.9369676320272572,,
uf_fe_MACRO_CENTRO-OESTE,0.7783820387871839,0.48511891499651055,-0.17243356282512468,1.7291976403994926,0.10859991663741117,LPM_cobertura_full,587,295,0.28531728472931406,0.9369676320272572,,
uf_fe_MACRO_NORDESTE,0.04173750141535535,0.07924485808732476,-0.11357956639578881,0.1970545692264995,0.5984086434910765,LPM_cobertura_full,587,295,0.28531728472931406,0.9369676320272572,,
uf_fe_MACRO_NORTE,0.054894975885095065,0.08100392857363031,-0.10386980672547533,0.21365975849566546,0.4979727814052456,LPM_cobertura_full,587,295,0.28531728472931406,0.9369676320272572,,
uf_fe_MACRO_SEM_REGIAO_SAUDE,0.11406490986912006,0.09294040700809013,-0.06809494057523062,0.2962247603134707,0.21971329847667542,LPM_cobertura_full,587,295,0.28531728472931406,0.9369676320272572,,
uf_fe_MACRO_SUDESTE,0.12506611638809742,0.08058927738073801,-0.03288596481825751,0.28301819759445235,0.12068729079035978,LPM_cobertura_full,587,295,0.28531728472931406,0.9369676320272572,,
