termo,coef,se_cluster,ci_low,ci_high,p_valor,q_fdr_estrato,espec,n,n_clusters,r2,outcome_medio
uf_fe_PR,0.3627490617294254,0.13463610358102635,0.09886714769180954,0.6266309757670412,0.007053820442707502,,LPM_faixa_only_FE,1295,368,0.2216044511115306,0.30347490347490347
uf_fe_RESTO,0.4242789263945931,0.09777839644076892,0.23263679090460657,0.6159210618845796,1.4300959871995927e-05,,LPM_faixa_only_FE,1295,368,0.2216044511115306,0.30347490347490347
uf_fe_RJ,0.3777054256439176,0.09342042646054512,0.19460475436087651,0.5608060969269587,5.275561609619177e-05,,LPM_faixa_only_FE,1295,368,0.2216044511115306,0.30347490347490347
uf_fe_RN,0.42291234176846637,0.12220396408285698,0.18339697339804034,0.6624277101388925,0.0005387551182653665,,LPM_faixa_only_FE,1295,368,0.2216044511115306,0.30347490347490347
uf_fe_RO,0.11280612494935682,0.07285289033296392,-0.02998291627289873,0.2555951661716124,0.12152367776922042,,LPM_faixa_only_FE,1295,368,0.2216044511115306,0.30347490347490347
uf_fe_RS,0.1559843541193699,0.08264557968833758,-0.005998005551206775,0.31796671378994656,0.05910802986815146,,LPM_faixa_only_FE,1295,368,0.2216044511115306,0.30347490347490347
uf_fe_SC,0.3067392225600996,0.11922627188208863,0.07306002366022538,0.5404184214599739,0.010089447017345899,,LPM_faixa_only_FE,1295,368,0.2216044511115306,0.30347490347490347
uf_fe_SP,0.36199200855357205,0.07445525958720195,0.21606238130307567,0.5079216358040685,1.1628028160031048e-06,,LPM_faixa_only_FE,1295,368,0.2216044511115306,0.30347490347490347
uf_fe_TO,0.10025897163061447,0.07699497380293835,-0.05064840401374966,0.2511663472749786,0.1928652623665842,,LPM_faixa_only_FE,1295,368,0.2216044511115306,0.30347490347490347
const,0.07666362701942073,0.10908060339930575,-0.13713042705511594,0.2904576810939574,0.4821702324320071,,LPM_ivs_only_FE,1295,368,0.21163956629199776,0.30347490347490347
cod_curso_10,-0.2357930153856863,0.0465576228665744,-0.3270442794099706,-0.14454175136140202,4.093843483268439e-07,,LPM_ivs_only_FE,1295,368,0.21163956629199776,0.30347490347490347
cod_curso_11,-0.21756361113334527,0.042031685672462696,-0.29994420126088034,-0.1351830210058102,2.264738040013723e-07,,LPM_ivs_only_FE,1295,368,0.21163956629199776,0.30347490347490347
cod_curso_12,-0.035097228583412465,0.09046095627731501,-0.21239744489400242,0.1422029877271775,0.698029306389097,,LPM_ivs_only_FE,1295,368,0.21163956629199776,0.30347490347490347
cod_curso_13,0.05252487995768922,0.11336696258618595,-0.16967028374793502,0.2747200436633135,0.6431369158895781,,LPM_ivs_only_FE,1295,368,0.21163956629199776,0.30347490347490347
cod_curso_14,0.114510589552789,0.056976159250006986,0.0028393694453566487,0.22618180966022136,0.04445253791970794,,LPM_ivs_only_FE,1295,368,0.21163956629199776,0.30347490347490347
cod_curso_15,0.21012938679657492,0.06887685387951198,0.07513323382430354,0.3451255397688463,0.002282338608411097,,LPM_ivs_only_FE,1295,368,0.21163956629199776,0.30347490347490347
cod_curso_16,-0.031584340331137176,0.093099297814107,-0.2140556110327555,0.15088693037048112,0.7344181405356123,,LPM_ivs_only_FE,1295,368,0.21163956629199776,0.30347490347490347
cod_curso_2,0.09901677933480751,0.06934992771092717,-0.03690658130906602,0.23494013997868105,0.15335378148914894,,LPM_ivs_only_FE,1295,368,0.21163956629199776,0.30347490347490347
cod_curso_3,0.16604166272921325,0.11959833741831867,-0.06836677122156046,0.400450096679987,0.16503733702004053,,LPM_ivs_only_FE,1295,368,0.21163956629199776,0.30347490347490347
cod_curso_4,0.16756010935784987,0.08889905737510483,-0.00667884135691546,0.3417990600726152,0.05945203511780473,,LPM_ivs_only_FE,1295,368,0.21163956629199776,0.30347490347490347
cod_curso_5,-0.034707605701980455,0.0785925822964763,-0.18874623645507424,0.11933102505111334,0.658768357433686,,LPM_ivs_only_FE,1295,368,0.21163956629199776,0.30347490347490347
cod_curso_6,0.2907066289950402,0.07749291035822278,0.13882331563573264,0.44258994235434773,0.0001758523785934754,,LPM_ivs_only_FE,1295,368,0.21163956629199776,0.30347490347490347
cod_curso_7,-0.1556875576424658,0.05065072955194688,-0.2549611633549603,-0.056413951929971326,0.002113882030971139,,LPM_ivs_only_FE,1295,368,0.21163956629199776,0.30347490347490347
cod_curso_8,0.31145394501932355,0.05900085443119195,0.19581439527709688,0.42709349476155023,1.300298153844875e-07,,LPM_ivs_only_FE,1295,368,0.21163956629199776,0.30347490347490347
cod_curso_9,-0.10709346634424488,0.05619469482455617,-0.21723304432259433,0.0030461116341045785,0.056681663237697355,,LPM_ivs_only_FE,1295,368,0.21163956629199776,0.30347490347490347
ivs_2010,0.017331145970223998,0.24653685589657973,-0.4658722124488135,0.5005345043892615,0.943956157717912,,LPM_ivs_only_FE,1295,368,0.21163956629199776,0.30347490347490347
uf_fe_AM,0.23411437207284708,0.07122076299909262,0.09452424164316264,0.3737045025025315,0.0010120165627720422,,LPM_ivs_only_FE,1295,368,0.21163956629199776,0.30347490347490347
uf_fe_BA,0.3569088340472838,0.05691901566593808,0.24534961330657404,0.4684680547879936,3.59965836225588e-10,,LPM_ivs_only_FE,1295,368,0.21163956629199776,0.30347490347490347
uf_fe_CE,0.41426067088519947,0.06701542988973216,0.28291284189285537,0.5456084998775436,6.346660649214472e-10,,LPM_ivs_only_FE,1295,368,0.21163956629199776,0.30347490347490347
uf_fe_GO,0.19111903034164665,0.1169323464005648,-0.03806415723122217,0.4203022179145155,0.1021662687818042,,LPM_ivs_only_FE,1295,368,0.21163956629199776,0.30347490347490347
uf_fe_MA,0.3408684928105518,0.07059363595841373,0.20250750879432922,0.4792294768267744,1.3749567394561902e-06,,LPM_ivs_only_FE,1295,368,0.21163956629199776,0.30347490347490347
uf_fe_MG,0.1379667812681632,0.05107930846933513,0.037853176313054585,0.23808038622327182,0.006912495368075741,,LPM_ivs_only_FE,1295,368,0.21163956629199776,0.30347490347490347
uf_fe_MS,0.033656136998242984,0.08969532815264161,-0.14214347576243616,0.20945574975892214,0.7074914186444151,,LPM_ivs_only_FE,1295,368,0.21163956629199776,0.30347490347490347
uf_fe_MT,0.055272298059651635,0.0670655394946781,-0.076173743953666,0.18671834007296928,0.40985235340924386,,LPM_ivs_only_FE,1295,368,0.21163956629199776,0.30347490347490347
uf_fe_PA,0.19789358797155954,0.055015200844320135,0.0900657757144545,0.30572140022866456,0.00032182056141217446,,LPM_ivs_only_FE,1295,368,0.21163956629199776,0.30347490347490347
uf_fe_PI,0.15651009505648167,0.05560865041949536,0.0475191430053926,0.2655010471075707,0.00488544118853212,,LPM_ivs_only_FE,1295,368,0.21163956629199776,0.30347490347490347
uf_fe_PR,0.3228150354094555,0.12671105124649748,0.07446593852311131,0.5711641322957997,0.010845213593292982,,LPM_ivs_only_FE,1295,368,0.21163956629199776,0.30347490347490347
uf_fe_RESTO,0.42049250701698654,0.0939545707805721,0.23634493210414592,0.6046400819298272,7.623715967222021e-06,,LPM_ivs_only_FE,1295,368,0.21163956629199776,0.30347490347490347
uf_fe_RJ,0.3541925310701851,0.08467887639722924,0.18822498308029698,0.5201600790600732,2.8797469619355704e-05,,LPM_ivs_only_FE,1295,368,0.21163956629199776,0.30347490347490347
uf_fe_RN,0.3988162190677612,0.11808936677052456,0.16736531324039203,0.6302671248951304,0.0007321694154555834,,LPM_ivs_only_FE,1295,368,0.21163956629199776,0.30347490347490347
uf_fe_RO,0.11203463448008787,0.06371364619609438,-0.012841817387984525,0.23691108634816027,0.0786779813441247,,LPM_ivs_only_FE,1295,368,0.21163956629199776,0.30347490347490347
uf_fe_RS,0.12603811472483534,0.07498212420136975,-0.020924148194158526,0.27300037764382923,0.0927806244233048,,LPM_ivs_only_FE,1295,368,0.21163956629199776,0.30347490347490347
uf_fe_SC,0.2712236423948508,0.11706245102642268,0.04178545444107848,0.5006618303486231,0.020508411980905614,,LPM_ivs_only_FE,1295,368,0.21163956629199776,0.30347490347490347
uf_fe_SP,0.3504673798158419,0.06591800862638816,0.22127045697552053,0.47966430265616333,1.0565635284774691e-07,,LPM_ivs_only_FE,1295,368,0.21163956629199776,0.30347490347490347
