termo,coef,se_cluster,ci_low,ci_high,p_valor,espec,n,n_clusters,r2,outcome_medio,q_fdr_atracao,familia_fdr,nota
estrato_capital,-1.6847705275587732,0.8333938287611845,-3.318192416868636,-0.05134863824891056,0.04321997940524774,OLS_estoque_6m_full_estrato_ivs_logpop_FE_cluster,587,295,0.9970822591607235,11.894378194207837,,,identico a OLS_delta_full por Frisch-Waugh-Lovell; ver nota em A5_tabela_03b
estrato_interior_proximo_polo,-0.14728810958813404,0.2465139098470541,-0.6304464945765138,0.3358702754002458,0.550184306033485,OLS_estoque_6m_full_estrato_ivs_logpop_FE_cluster,587,295,0.9970822591607235,11.894378194207837,,,identico a OLS_delta_full por Frisch-Waugh-Lovell; ver nota em A5_tabela_03b
estrato_metropolitano,-0.35074941192986264,0.436991019548266,-1.2072360718119026,0.5057372479521774,0.42217895189209553,OLS_estoque_6m_full_estrato_ivs_logpop_FE_cluster,587,295,0.9970822591607235,11.894378194207837,,,identico a OLS_delta_full por Frisch-Waugh-Lovell; ver nota em A5_tabela_03b
ivs_2010,2.37633799083846,2.1764441916919,-1.8894142392390534,6.642090220915973,0.2749015828063437,OLS_estoque_6m_full_estrato_ivs_logpop_FE_cluster,587,295,0.9970822591607235,11.894378194207837,,,identico a OLS_delta_full por Frisch-Waugh-Lovell; ver nota em A5_tabela_03b
log_pop,0.22355067899095216,0.11888541632266285,-0.0094604552885173,0.4565618132704216,0.06005525358130939,OLS_estoque_6m_full_estrato_ivs_logpop_FE_cluster,587,295,0.9970822591607235,11.894378194207837,,,identico a OLS_delta_full por Frisch-Waugh-Lovell; ver nota em A5_tabela_03b
uf_fe_12,0.15444302276139493,0.6493578224253247,-1.1182749222715973,1.427160967794387,0.8120054819160358,OLS_estoque_6m_full_estrato_ivs_logpop_FE_cluster,587,295,0.9970822591607235,11.894378194207837,,,identico a OLS_delta_full por Frisch-Waugh-Lovell; ver nota em A5_tabela_03b
uf_fe_13,-0.8926453798797902,1.9517102019266046,-4.717927083915331,2.932636324155751,0.6474081853885985,OLS_estoque_6m_full_estrato_ivs_logpop_FE_cluster,587,295,0.9970822591607235,11.894378194207837,,,identico a OLS_delta_full por Frisch-Waugh-Lovell; ver nota em A5_tabela_03b
uf_fe_15,-0.6120823848914928,0.7002519433830489,-1.9845509740264498,0.760386204243464,0.38206989325362684,OLS_estoque_6m_full_estrato_ivs_logpop_FE_cluster,587,295,0.9970822591607235,11.894378194207837,,,identico a OLS_delta_full por Frisch-Waugh-Lovell; ver nota em A5_tabela_03b
uf_fe_17,0.599238134870189,0.6022044984431805,-0.5810609934064519,1.7795372631468298,0.3197001975972644,OLS_estoque_6m_full_estrato_ivs_logpop_FE_cluster,587,295,0.9970822591607235,11.894378194207837,,,identico a OLS_delta_full por Frisch-Waugh-Lovell; ver nota em A5_tabela_03b
uf_fe_21,0.14952076413151416,0.7087790406592936,-1.239660628557552,1.5387021568205803,0.8329220758620919,OLS_estoque_6m_full_estrato_ivs_logpop_FE_cluster,587,295,0.9970822591607235,11.894378194207837,,,identico a OLS_delta_full por Frisch-Waugh-Lovell; ver nota em A5_tabela_03b
uf_fe_22,0.3213715094076167,0.5474651069118328,-0.7516403829319459,1.3943834017471795,0.5571920627495845,OLS_estoque_6m_full_estrato_ivs_logpop_FE_cluster,587,295,0.9970822591607235,11.894378194207837,,,identico a OLS_delta_full por Frisch-Waugh-Lovell; ver nota em A5_tabela_03b
uf_fe_23,0.23316240798699628,0.7039517031416049,-1.146557577026181,1.6128823930001737,0.7404788240193332,OLS_estoque_6m_full_estrato_ivs_logpop_FE_cluster,587,295,0.9970822591607235,11.894378194207837,,,identico a OLS_delta_full por Frisch-Waugh-Lovell; ver nota em A5_tabela_03b
uf_fe_24,0.7234638668385356,0.7260410463837148,-0.6995504353713202,2.1464781690483914,0.3190313713920335,OLS_estoque_6m_full_estrato_ivs_logpop_FE_cluster,587,295,0.9970822591607235,11.894378194207837,,,identico a OLS_delta_full por Frisch-Waugh-Lovell; ver nota em A5_tabela_03b
uf_fe_29,0.17962541794779752,0.615824278196803,-1.027367988123311,1.3866188240189063,0.770529076598863,OLS_estoque_6m_full_estrato_ivs_logpop_FE_cluster,587,295,0.9970822591607235,11.894378194207837,,,identico a OLS_delta_full por Frisch-Waugh-Lovell; ver nota em A5_tabela_03b
uf_fe_31,0.5925653747319792,0.48851146211845164,-0.36489949705518887,1.5500302465191473,0.2251290604285744,OLS_estoque_6m_full_estrato_ivs_logpop_FE_cluster,587,295,0.9970822591607235,11.894378194207837,,,identico a OLS_delta_full por Frisch-Waugh-Lovell; ver nota em A5_tabela_03b
uf_fe_33,1.1080698444424808,0.6593500167023619,-0.1842324415000316,2.4003721303849934,0.09285059821315425,OLS_estoque_6m_full_estrato_ivs_logpop_FE_cluster,587,295,0.9970822591607235,11.894378194207837,,,identico a OLS_delta_full por Frisch-Waugh-Lovell; ver nota em A5_tabela_03b
uf_fe_35,1.1697222754091532,0.9768380563034625,-0.7448451336737429,3.0842896844920493,0.23112819615587854,OLS_estoque_6m_full_estrato_ivs_logpop_FE_cluster,587,295,0.9970822591607235,11.894378194207837,,,identico a OLS_delta_full por Frisch-Waugh-Lovell; ver nota em A5_tabela_03b
uf_fe_41,2.618705266536944,1.004839822876524,0.6492554034673497,4.588155129606538,0.009158179460296106,OLS_estoque_6m_full_estrato_ivs_logpop_FE_cluster,587,295,0.9970822591607235,11.894378194207837,,,identico a OLS_delta_full por Frisch-Waugh-Lovell; ver nota em A5_tabela_03b
uf_fe_42,0.8798459192899095,0.763143960585704,-0.6158887584773249,2.375580597057144,0.24894215487665183,OLS_estoque_6m_full_estrato_ivs_logpop_FE_cluster,587,295,0.9970822591607235,11.894378194207837,,,identico a OLS_delta_full por Frisch-Waugh-Lovell; ver nota em A5_tabela_03b
uf_fe_43,0.21564657867470324,0.9037479869191636,-1.5556669267874332,1.9869600841368398,0.8114052029744551,OLS_estoque_6m_full_estrato_ivs_logpop_FE_cluster,587,295,0.9970822591607235,11.894378194207837,,,identico a OLS_delta_full por Frisch-Waugh-Lovell; ver nota em A5_tabela_03b
uf_fe_50,0.589305939629683,0.5410633331148199,-0.4711587066305619,1.6497705858899279,0.2760821941338243,OLS_estoque_6m_full_estrato_ivs_logpop_FE_cluster,587,295,0.9970822591607235,11.894378194207837,,,identico a OLS_delta_full por Frisch-Waugh-Lovell; ver nota em A5_tabela_03b
uf_fe_51,0.5637508998117626,0.5742795932333189,-0.5618164199818545,1.6893182196053798,0.32626429322567674,OLS_estoque_6m_full_estrato_ivs_logpop_FE_cluster,587,295,0.9970822591607235,11.894378194207837,,,identico a OLS_delta_full por Frisch-Waugh-Lovell; ver nota em A5_tabela_03b
uf_fe_52,1.3767296610311262,1.0124808094885884,-0.6076962606044669,3.3611555826667194,0.173906273276498,OLS_estoque_6m_full_estrato_ivs_logpop_FE_cluster,587,295,0.9970822591607235,11.894378194207837,,,identico a OLS_delta_full por Frisch-Waugh-Lovell; ver nota em A5_tabela_03b
uf_fe_MACRO_CENTRO-OESTE,174.16067940864127,8.045267238737498,158.39224537471577,189.92911344256677,6.403704911025295e-104,OLS_estoque_6m_full_estrato_ivs_logpop_FE_cluster,587,295,0.9970822591607235,11.894378194207837,,,identico a OLS_delta_full por Frisch-Waugh-Lovell; ver nota em A5_tabela_03b
uf_fe_MACRO_NORDESTE,1.6886707668309824,1.030597052112474,-0.3312623378826163,3.708603871544581,0.10130985066926394,OLS_estoque_6m_full_estrato_ivs_logpop_FE_cluster,587,295,0.9970822591607235,11.894378194207837,,,identico a OLS_delta_full por Frisch-Waugh-Lovell; ver nota em A5_tabela_03b
uf_fe_MACRO_NORTE,1.5155088043726728,1.3277305056383293,-1.0867951678536076,4.117812776598953,0.253691849246512,OLS_estoque_6m_full_estrato_ivs_logpop_FE_cluster,587,295,0.9970822591607235,11.894378194207837,,,identico a OLS_delta_full por Frisch-Waugh-Lovell; ver nota em A5_tabela_03b
uf_fe_MACRO_SEM_REGIAO_SAUDE,0.728981947913504,0.543625256837633,-0.3365039765745934,1.7944678724016014,0.17993211189831582,OLS_estoque_6m_full_estrato_ivs_logpop_FE_cluster,587,295,0.9970822591607235,11.894378194207837,,,identico a OLS_delta_full por Frisch-Waugh-Lovell; ver nota em A5_tabela_03b
uf_fe_MACRO_SUDESTE,1.626708746324069,0.8747807957128757,-0.08783010764045796,3.341247600288596,0.06294758125552274,OLS_estoque_6m_full_estrato_ivs_logpop_FE_cluster,587,295,0.9970822591607235,11.894378194207837,,,identico a OLS_delta_full por Frisch-Waugh-Lovell; ver nota em A5_tabela_03b
