co_ibge_6d,termo,coef_excluido,delta,dfbeta,n_excluido
314710,estrato_interior_proximo_polo,0.12447361845930932,-0.002128343732232918,-0.04932811558362894,3
220390,estrato_interior_proximo_polo,0.1287242678922879,0.0021223057007456747,0.049188173566468096,17
431270,estrato_interior_proximo_polo,0.12448042620687245,-0.002121535984669784,-0.049170334040369426,2
310150,estrato_metropolitano,0.2912668639821008,-0.002966934681832345,-0.04892822371775797,5
314220,estrato_capital,0.23597728523165334,0.00419893883579911,0.04881336924382294,1
314400,estrato_capital,0.23597728523165293,0.004198938835798693,0.0488133692438181,1
314760,estrato_capital,0.2359772852316525,0.004198938835798277,0.048813369243813264,1
510629,estrato_interior_proximo_polo,0.12449584036330212,-0.002106121828240118,-0.04881308380936985,3
150747,estrato_metropolitano,0.29718047128492553,0.0029466726209924077,0.048594078631305646,2
316970,estrato_metropolitano,0.2971755140727368,0.002941715408803669,0.048512328403209216,4
431340,estrato_metropolitano,0.29131149931323536,-0.0029222993506977657,-0.04819213489152196,3
230690,estrato_capital,0.23591632976249743,0.0041379833666432,0.04810475167645806,1
330510,estrato_metropolitano,0.2913435775532494,-0.0028902211106837106,-0.047663127187547054,1
313270,estrato_capital,0.22769974390744524,-0.004078602488408994,-0.04741443899303525,3
311230,estrato_metropolitano,0.29138932540519996,-0.00284447325873316,-0.04690869159159352,3
210005,estrato_metropolitano,0.2914101705718664,-0.00282362809206671,-0.046564930407926294,5
280350,estrato_interior_proximo_polo,0.12460087001780924,-0.002001092173732996,-0.04637883653118211,5
150510,estrato_metropolitano,0.29144180552434,-0.0027919931395931075,-0.046043233034065295,2
312800,estrato_interior_proximo_polo,0.12461585561130849,-0.0019861065802337513,-0.04603151900111167,4
315765,estrato_interior_proximo_polo,0.12858554477907508,0.0019835825875328394,0.04597302102364814,2
313868,estrato_interior_proximo_polo,0.12858554477907447,0.001983582587532229,0.045973021023633986,2
315790,estrato_interior_proximo_polo,0.12858554477907422,0.001983582587531979,0.0459730210236282,2
120040,estrato_metropolitano,0.29701762769717904,0.0027838290332459215,0.045908597369769516,10
522020,estrato_interior_proximo_polo,0.1285700520298953,0.00196808983835306,0.04561394926720466,2
231130,estrato_interior_proximo_polo,0.12463457893756874,-0.001967383253973498,-0.045597572929390075,3
171610,estrato_metropolitano,0.29147081468019326,-0.002762983983739864,-0.045564838118214226,4
312200,estrato_metropolitano,0.29698866206218144,0.0027548633982483195,0.04543092016374005,2
310470,estrato_capital,0.2278798360140492,-0.003898510381805026,-0.045320838004469184,2
