termo,coef,se_cluster,ci_low,ci_high,p_valor,espec,n,n_clusters,r2,outcome_medio,q_fdr_atracao,familia_fdr
uf_fe_43,0.24701554132975345,0.2755625868414993,-0.29307720436627616,0.7871082870257831,0.3700367677955789,OLS_entradas_6m_minimal,587,295,0.950215258540602,0.33049403747870526,,
uf_fe_50,-0.013956803897087984,0.11060842121457475,-0.23074532586449054,0.20283171807031458,0.8995877728607957,OLS_entradas_6m_minimal,587,295,0.950215258540602,0.33049403747870526,,
uf_fe_51,-0.06642259803249552,0.11113168021839456,-0.2842366888019712,0.15139149273698022,0.5500449730731704,OLS_entradas_6m_minimal,587,295,0.950215258540602,0.33049403747870526,,
uf_fe_52,-0.03363771866011234,0.16146708819686464,-0.3501073962145195,0.2828319588942948,0.8349747895109703,OLS_entradas_6m_minimal,587,295,0.950215258540602,0.33049403747870526,,
uf_fe_MACRO_CENTRO-OESTE,65.64879194285315,0.1315687593796465,65.39092191297843,65.90666197272787,0.0,OLS_entradas_6m_minimal,587,295,0.950215258540602,0.33049403747870526,,
uf_fe_MACRO_NORDESTE,0.5497064588573062,0.2889015605120603,-0.016530194823751065,1.1159431125383634,0.05707361956285547,OLS_entradas_6m_minimal,587,295,0.950215258540602,0.33049403747870526,,
uf_fe_MACRO_NORTE,0.2363560920830228,0.17374129513314046,-0.10417058900527668,0.5768827731713223,0.17370622890701004,OLS_entradas_6m_minimal,587,295,0.950215258540602,0.33049403747870526,,
uf_fe_MACRO_SEM_REGIAO_SAUDE,0.057835561908982806,0.1290892083218583,-0.19517463719464767,0.3108457610126133,0.6541330892533476,OLS_entradas_6m_minimal,587,295,0.950215258540602,0.33049403747870526,,
uf_fe_MACRO_SUDESTE,1.022205355449647,0.1862069029022322,0.657246532088525,1.3871641788107691,4.027967231130912e-08,OLS_entradas_6m_minimal,587,295,0.950215258540602,0.33049403747870526,,
const,-0.7958109360429944,0.4564645417512709,-1.6904649980950652,0.09884312600907641,0.08125969424319288,OLS_entradas_full,587,295,0.9519502204180943,0.33049403747870526,,
atracao_muni,0.11901242475464364,0.07370941091563876,-0.025455365961671847,0.2634802154709591,0.10639378857145583,OLS_entradas_full,587,295,0.9519502204180943,0.33049403747870526,0.13299223571431978,full_5_desfechos
cod_curso_12,-0.2898378445906495,0.0897158647960202,-0.465677708432714,-0.11399798074858497,0.0012352214964947619,OLS_entradas_full,587,295,0.9519502204180943,0.33049403747870526,,
cod_curso_13,-0.20014077843412528,0.11357315579997347,-0.42274007341262965,0.02245851654437908,0.07803229510187407,OLS_entradas_full,587,295,0.9519502204180943,0.33049403747870526,,
cod_curso_14,0.04442154519932015,0.09251342410531371,-0.1369014341335744,0.2257445245322147,0.6311113253385081,OLS_entradas_full,587,295,0.9519502204180943,0.33049403747870526,,
cod_curso_15,-0.13492027155246697,0.08725884778781215,-0.3059444705490414,0.036103927444107425,0.12205449968721051,OLS_entradas_full,587,295,0.9519502204180943,0.33049403747870526,,
cod_curso_16,-0.16669265471624414,0.1509917618200116,-0.4626310698457169,0.12924576041322858,0.26959960278079464,OLS_entradas_full,587,295,0.9519502204180943,0.33049403747870526,,
cod_curso_2,-0.04867100160476528,0.09469496556606394,-0.23426972363151116,0.1369277204219806,0.6072683127432269,OLS_entradas_full,587,295,0.9519502204180943,0.33049403747870526,,
cod_curso_3,-0.2554926664198769,0.10769174814237115,-0.46656461421108264,-0.04442071862867117,0.01767083064613376,OLS_entradas_full,587,295,0.9519502204180943,0.33049403747870526,,
cod_curso_5,-0.23737547198343462,0.09126435224131553,-0.41625031544879043,-0.05850062851807883,0.009296168228864466,OLS_entradas_full,587,295,0.9519502204180943,0.33049403747870526,,
