termo,coef,se_cluster,ci_low,ci_high,p_valor,q_fdr_estrato,espec,n,n_clusters,r2,outcome_medio,outcome_estagio
uf_fe_PR,0.2856017316316174,0.12693989618270132,0.03680410691226932,0.5343993563509655,0.02445546441354211,,LPM_alguma_confirmacao_minimal,1295,368,0.23548756415629046,0.29884169884169887,alguma_confirmacao
uf_fe_RESTO,0.3486859563792037,0.09456348533700586,0.16334493086609073,0.5340269818923167,0.00022662711114151867,,LPM_alguma_confirmacao_minimal,1295,368,0.23548756415629046,0.29884169884169887,alguma_confirmacao
uf_fe_RJ,0.3566479684549032,0.09531082679928321,0.16984218059157313,0.5434537563182333,0.0001826007477683673,,LPM_alguma_confirmacao_minimal,1295,368,0.23548756415629046,0.29884169884169887,alguma_confirmacao
uf_fe_RN,0.36949189663346277,0.10291635672038732,0.16777954404142686,0.5712042492254987,0.00033040471426033725,,LPM_alguma_confirmacao_minimal,1295,368,0.23548756415629046,0.29884169884169887,alguma_confirmacao
uf_fe_RO,0.14299236165591017,0.06683427391413496,0.011999591851320823,0.2739851314604995,0.032394672251769646,,LPM_alguma_confirmacao_minimal,1295,368,0.23548756415629046,0.29884169884169887,alguma_confirmacao
uf_fe_RS,0.12540139741275697,0.08402244757757046,-0.03927957373218585,0.29008236855769975,0.1355746820307721,,LPM_alguma_confirmacao_minimal,1295,368,0.23548756415629046,0.29884169884169887,alguma_confirmacao
uf_fe_SC,0.15475167710926804,0.1288942517230687,-0.09787641408218642,0.40737976830072253,0.22990267206374326,,LPM_alguma_confirmacao_minimal,1295,368,0.23548756415629046,0.29884169884169887,alguma_confirmacao
uf_fe_SP,0.307763723154867,0.08079014623996575,0.14941794621881005,0.46610950009092394,0.0001392923002947289,,LPM_alguma_confirmacao_minimal,1295,368,0.23548756415629046,0.29884169884169887,alguma_confirmacao
uf_fe_TO,-0.0043240860839881,0.08147181011995606,-0.1640058996743879,0.1553577275064117,0.9576724461967477,,LPM_alguma_confirmacao_minimal,1295,368,0.23548756415629046,0.29884169884169887,alguma_confirmacao
const,-0.03570365420054146,0.04931523630317161,-0.13235974124384003,0.0609524328427571,0.4690729167370038,,LPM_alguma_homologacao_minimal,1295,368,0.16875720603825284,0.19305019305019305,alguma_homologacao
cod_curso_10,-0.17056983711483423,0.03792886311597662,-0.24490904279669806,-0.0962306314329704,6.888704792062307e-06,,LPM_alguma_homologacao_minimal,1295,368,0.16875720603825284,0.19305019305019305,alguma_homologacao
cod_curso_11,-0.16280304963225087,0.03528389691291401,-0.23195821681578632,-0.09364788244871541,3.9482273990583205e-06,,LPM_alguma_homologacao_minimal,1295,368,0.16875720603825284,0.19305019305019305,alguma_homologacao
cod_curso_12,-0.11424322642199956,0.06150189585702923,-0.23478472728271002,0.0062982744387108935,0.06323206691111809,,LPM_alguma_homologacao_minimal,1295,368,0.16875720603825284,0.19305019305019305,alguma_homologacao
cod_curso_13,-0.1063221946438098,0.09470440477100747,-0.2919394171722877,0.07929502788466809,0.26157587681608185,,LPM_alguma_homologacao_minimal,1295,368,0.16875720603825284,0.19305019305019305,alguma_homologacao
cod_curso_14,0.07896269111633986,0.05054697483405848,-0.02010755908586724,0.17803294131854697,0.1182492345143912,,LPM_alguma_homologacao_minimal,1295,368,0.16875720603825284,0.19305019305019305,alguma_homologacao
cod_curso_15,0.15431090760995506,0.06770173954949397,0.021617936402235888,0.2870038788176742,0.022650701068638642,,LPM_alguma_homologacao_minimal,1295,368,0.16875720603825284,0.19305019305019305,alguma_homologacao
cod_curso_16,-0.0401486321373931,0.06675326857983685,-0.17098263440420253,0.09068537012941634,0.5475415142092841,,LPM_alguma_homologacao_minimal,1295,368,0.16875720603825284,0.19305019305019305,alguma_homologacao
cod_curso_2,0.1094386522622987,0.061009540554225854,-0.010137849937319823,0.22901515446191723,0.0728457815605666,,LPM_alguma_homologacao_minimal,1295,368,0.16875720603825284,0.19305019305019305,alguma_homologacao
cod_curso_3,0.1555806337779808,0.10587549922958976,-0.05193153155721339,0.36309279911317494,0.14170595741961928,,LPM_alguma_homologacao_minimal,1295,368,0.16875720603825284,0.19305019305019305,alguma_homologacao
cod_curso_4,0.08555534423415292,0.08013349213762094,-0.07150341431100771,0.24261410277931356,0.28567379522103287,,LPM_alguma_homologacao_minimal,1295,368,0.16875720603825284,0.19305019305019305,alguma_homologacao
cod_curso_5,0.011497343680498085,0.07088042884064585,-0.1274257440559219,0.1504204314169181,0.8711423814439763,,LPM_alguma_homologacao_minimal,1295,368,0.16875720603825284,0.19305019305019305,alguma_homologacao
cod_curso_6,0.14405149106141102,0.07900432170516429,-0.010794134103727065,0.29889711622654913,0.06825238840744875,,LPM_alguma_homologacao_minimal,1295,368,0.16875720603825284,0.19305019305019305,alguma_homologacao
