cnes,media_pre,ultimo_pre,desvio_pre,prop_zero_pre,media_070102_generico_pre,tendencia_pre,ibge,cod_curso,modulo,cbo,papel,bracos_cnes_curso,braco_cnes,tratado,elegivel,n_cnes_propostos,n_vagas_imediatas,n_propostas_nao_priorizadas,cointervencao_cirurgica_muni,uf,regiao,co_ibge_6d,ivs_2010,populacao_2010,macro_regiao_saude,log_pop_2010,propensao_pre,peso_sobreposicao,suporte_comum,limite_inferior_suporte,limite_superior_suporte,nivel,braco_municipal
2295423,22.653846153846153,14,3.9287892047531137,0.0,0.0,-0.4311111111111113,330455,24,medicina_intensiva,225150,generalizacao,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,RJ,SUDESTE,330455,0.334,1571657.0,SUDESTE,14.267641671050368,0.13258298385367928,0.13258298385367928,True,0.041809673815580276,0.16240305537309768,cnes_ofertante,
2296241,2.1153846153846154,2,0.32581259360842113,0.0,0.0,-0.02358974358974359,330430,24,medicina_intensiva,225150,generalizacao,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,2,False,RJ,SUDESTE,330430,0.234,11377.0,SUDESTE,9.339436945310593,0.004914718959107879,0.004914718959107879,False,0.041809673815580276,0.16240305537309768,cnes_ofertante,
2296306,24.076923076923077,26,2.69700688798641,0.0,0.0,0.32205128205128214,330455,24,medicina_intensiva,225150,generalizacao,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,RJ,SUDESTE,330455,0.334,1571657.0,SUDESTE,14.267641671050368,0.09192329339559363,0.09192329339559363,True,0.041809673815580276,0.16240305537309768,cnes_ofertante,
2298120,53.69230769230769,59,4.202563320348482,0.0,0.0,-0.13811965811965807,330455,24,medicina_intensiva,225150,generalizacao,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,RJ,SUDESTE,330455,0.334,1571657.0,SUDESTE,14.267641671050368,0.14326011529987873,0.14326011529987873,True,0.041809673815580276,0.16240305537309768,cnes_ofertante,
2298317,23.96153846153846,32,7.549732547478853,0.0,0.0,0.8823931623931625,330100,24,medicina_intensiva,225150,generalizacao,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,RJ,SUDESTE,330100,0.344,109320.0,SUDESTE,11.602043787457173,0.03432196683788427,0.03432196683788427,False,0.041809673815580276,0.16240305537309768,cnes_ofertante,
2371243,2.0,2,0.0,0.0,0.0,7.21925230105826e-18,500620,24,medicina_intensiva,225150,generalizacao,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,1,False,MS,CENTRO-OESTE,500620,0.218,10093.0,,9.219696466900208,0.023405614159043856,0.023405614159043856,False,0.041809673815580276,0.16240305537309768,cnes_ofertante,
2375826,4.076923076923077,3,1.0167822548835888,0.0,0.0,-0.09572649572649572,500325,24,medicina_intensiva,225150,generalizacao,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,MS,CENTRO-OESTE,500325,0.24,3944.0,,8.280204233279974,0.018509613222638464,0.018509613222638464,False,0.041809673815580276,0.16240305537309768,cnes_ofertante,
2388057,8.653846153846153,7,1.4681228202655987,0.0,0.0,-0.15145299145299132,290570,24,medicina_intensiva,225150,generalizacao,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,2,False,BA,NORDESTE,290570,0.358,94383.0,NORDESTE,11.455126846242857,0.16240305537309768,0.16240305537309768,True,0.041809673815580276,0.16240305537309768,cnes_ofertante,
2402076,14.384615384615385,22,6.870673463799153,0.038461538461538464,0.0,0.6933333333333335,293330,24,medicina_intensiva,225150,generalizacao,imediata_pura,imediata_pura,1,True,1,1,0,False,BA,NORDESTE,293330,0.328,91923.0,NORDESTE,11.428717427676796,0.17106002439001033,0.8289399756099897,False,0.041809673815580276,0.16240305537309768,cnes_ofertante,
2411393,2.0,2,0.0,0.0,0.0,7.21925230105826e-18,421950,24,medicina_intensiva,225150,generalizacao,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,SC,SUL,421950,0.23,4482.0,,8.40804774415544,0.010629280544162603,0.010629280544162603,False,0.041809673815580276,0.16240305537309768,cnes_ofertante,
