cnes,ibge,cod_curso,modulo,cbo,papel,bracos_cnes_curso,braco_cnes,tratado,elegivel,n_cnes_propostos,n_vagas_imediatas,n_propostas_nao_priorizadas,cointervencao_cirurgica_muni,uf,regiao
2392410,510320,1,anestesiologia,225151,principal,imediata_pura,imediata_pura,1,True,1,1,0,False,MT,CENTRO-OESTE
2395037,510250,1,anestesiologia,225151,principal,imediata_pura,imediata_pura,1,True,1,3,0,False,MT,CENTRO-OESTE
2395509,510628,1,anestesiologia,225151,principal,imediata_pura,imediata_pura,1,True,1,1,0,False,MT,CENTRO-OESTE
2402076,293330,1,anestesiologia,225151,principal,imediata_pura,imediata_pura,1,True,1,1,0,True,BA,NORDESTE
2402564,293330,1,anestesiologia,225151,principal,imediata_pura,imediata_pura,1,True,1,1,0,True,BA,NORDESTE
2402874,320010,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,1,False,ES,SUDESTE
2408570,240810,1,anestesiologia,225151,principal,imediata_pura,imediata_pura,1,True,1,3,0,False,RN,NORDESTE
2409208,240810,1,anestesiologia,225151,principal,imediata_pura,imediata_pura,1,True,1,3,0,False,RN,NORDESTE
2410834,420010,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,SC,SUL
2411393,421950,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,SC,SUL
2411415,421970,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,SC,SUL
2412381,291120,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,BA,NORDESTE
2420015,420700,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,SC,SUL
2421518,280350,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,SE,NORDESTE
2423529,280210,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,SE,NORDESTE
2423936,291700,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,BA,NORDESTE
2426579,231290,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,CE,NORDESTE
2427427,261160,1,anestesiologia,225151,principal,imediata_pura,imediata_pura,1,True,1,3,0,True,PE,NORDESTE
2428393,261000,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,PE,NORDESTE
2430711,261110,1,anestesiologia,225151,principal,imediata_pura,imediata_pura,1,True,1,3,0,False,PE,NORDESTE
2432048,261370,1,anestesiologia,225151,principal,imediata_pura,imediata_pura,1,True,1,3,0,False,PE,NORDESTE
2436450,420910,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,SC,SUL
2436477,420910,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,SC,SUL
2437139,520450,1,anestesiologia,225151,principal,imediata_pura,imediata_pura,1,True,1,1,0,False,GO,CENTRO-OESTE
2442477,521800,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,1,False,GO,CENTRO-OESTE
2456672,210530,1,anestesiologia,225151,principal,imediata_pura,imediata_pura,1,True,1,3,0,False,MA,NORDESTE
2463016,210005,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,MA,NORDESTE
