ibge,cod_curso,modulo,cbo,papel,bracos_cnes_curso,braco_municipal,tratado,elegivel,n_cnes_propostos,n_vagas_imediatas,n_propostas_nao_priorizadas,cointervencao_cirurgica_muni,uf,regiao
316070,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,MG,SUDESTE
316210,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,1,False,MG,SUDESTE
316270,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,1,False,MG,SUDESTE
316290,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,MG,SUDESTE
316720,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,2,True,MG,SUDESTE
316800,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,2,False,MG,SUDESTE
316870,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,1,False,MG,SUDESTE
316935,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,MG,SUDESTE
317010,1,anestesiologia,225151,principal,imediata_pura,imediata_pura,1,True,4,12,0,True,MG,SUDESTE
317040,1,anestesiologia,225151,principal,imediata_pura,imediata_pura,1,True,1,3,0,False,MG,SUDESTE
317070,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,MG,SUDESTE
320010,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,1,False,ES,SUDESTE
320120,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,ES,SUDESTE
320140,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,ES,SUDESTE
320240,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,ES,SUDESTE
320500,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,ES,SUDESTE
320520,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,2,0,5,False,ES,SUDESTE
